id	period	topic	prompt
1	Babylonian	Geopolitical Danger	There is an upcoming significant man-made, natural or supernatural destruction by Yahweh. It is not an individual destruction, but a disaster that will affect the general public
2	Babylonian	Geopolitical Danger	There is an upcoming significant danger on the horizon that would negatively affect an entire land and/or city and put many people in mortal danger
3	Babylonian	Geopolitical Danger	It is a tragic destruction
4	Babylonian	Geopolitical Danger	Yahweh is bringing this destruction on the public because the public is evil and wicked
5	Babylonian	Geopolitical Danger	There is a great disaster
6	Babylonian	Geopolitical Danger	There is a threat of great destruction
7	Babylonian	Geopolitical Danger	There is a threat of great destruction to a city
8	Babylonian	Geopolitical Danger	There is a meaningful starting over following a great destruction or disaster
9	Babylonian	Geopolitical Danger	People are forced to leave their homes and go somewhere else because of events far beyond their control
10	Babylonian	Geopolitical Danger	People are forced to leave their home and go somewhere else because they sinned against Yahweh
11	Babylonian	Geopolitical Danger	There is a foreign invasion
12	Babylonian	Geopolitical Danger	There is a foreign invasion with plunder and looting
13	Babylonian	Geopolitical Danger	There is a threat of Hebrew captivity in a foreign land to the east
14	Babylonian	Geopolitical Danger	Yahweh wants to destroy an entire city of its wickedness
15	Babylonian	Nebuchadnezzar II	There is an evil king who is in conflict with the Hebrews
16	Babylonian	Nebuchadnezzar II	There is a very powerful evil king who is in conflict with the Hebrews
17	Babylonian	Nebuchadnezzar II	There is a very powerful evil king to the east of the Hebrews who is in conflict with the Hebrews
18	Babylonian	Nebuchadnezzar II	There is an evil king from the east who plans to expel the Hebrews from their land
19	Babylonian	Nebuchadnezzar II	There is an evil king who oppresses the Hebrews in captivity
20	Babylonian	Nebuchadnezzar II	There is an evil king who holds the Hebrews in his land against their will
21	Babylonian	Nebuchadnezzar II	The Hebrews are forced to work for an evil king and the benefit of his kingdom
22	Babylonian	Jeremiah the Prophet of Doom	There is prophet whom Yahweh decided to forewarn of this destruction
23	Babylonian	Jeremiah the Prophet of Doom	There is a prophet of doom
24	Babylonian	Jeremiah the Prophet of Doom	There is a prophet with the power to prophecize general destruction
25	Babylonian	Jeremiah the Prophet of Doom	He tells the future to the Israelites or Sons of Israel
26	Babylonian	Jeremiah the Prophet of Doom	He tells the future to the Israelites or Sons of Israel, which makes them angry
27	Babylonian	Jeremiah the Prophet of Doom	He warns the Israelites or Sons of Israel of an upcoming natural or supernatural destruction
28	Babylonian	Jeremiah the Prophet of Doom	There is a special person Yahweh chose to give the power of prophecy
29	Babylonian	Jeremiah the Prophet of Doom	Thanks to Yahweh, the protagonist learns there is a great disaster coming
30	Babylonian	Jeremiah the Prophet of Doom	There is a prophet warning of impending disaster because of idolatry
31	Babylonian	Jeremiah the Prophet of Doom	There is a prophet who foresees famine
32	Babylonian	Jeremiah the Prophet of Doom	There is a prophet whom Yahweh protects while punishing the wicked
33	Babylonian	Jeremiah the Prophet of Doom	There is a prophet who demonstrates unwavering loyalty to Yahweh and faithfully carries out divine instructions
34	Babylonian	Righteous Man Jeremiah	Yahweh sees the people as evil with the exception of one righteous person
35	Babylonian	Righteous Man Jeremiah	Yahweh tells the righteous person the future
36	Babylonian	Righteous Man Jeremiah	A righteous person is spared while the city he is in is destroyed
37	Babylonian	Righteous Man Jeremiah	A righteous person is spared by Yahweh while his land is destroyed
38	Babylonian	Righteous Man Jeremiah	One righteous man pleads Yahweh to spare a city
39	Babylonian	Righteous Man Jeremiah	There is a righteous man whom Yahweh protects while punishing the wicked
40	Babylonian	Jeremiah Shunned by Israelites	There is a person prophecizing the future and ignored
41	Babylonian	Jeremiah Shunned by Israelites	There are people who throw the prophet into a hole without water
42	Babylonian	Jeremiah Shunned by Israelites	The prophet has to move to Egypt against his will
43	Babylonian	Jeremiah Shunned by Israelites	The prophet has no choice but to move to Egypt
44	Babylonian	Jeremiah was Accused of Treason	There is a prophet who is working with the enemy of the Hebrews
45	Babylonian	Jeremiah was Accused of Treason	There is a prophet whose loyalties to the Hebrews are suspect
46	Babylonian	Jeremiah was Accused of Treason	There is a prophet associated or accused of associating with the enemies of the Hebrews
47	Babylonian	Jeremiah was Accused of Treason	There is a prophet who received wealth and real estate from the enemies of the Hebrews
48	Babylonian	Jeremiah was Accused of Treason	There is a prophet who received gifts or money from the enemies of the Hebrews
49	Babylonian	Jeremiah was Accused of Treason	There is a prophet who becomes rich during a conflict with the enemy of the Hebrews
50	Babylonian	Jeremiah was Accused of Treason	There is a protagonist offered money by a foreign king or his officials
51	Babylonian	Jeremiah was Accused of Treason	There is a prophet associated or accused of associating with the enemy who prophecizes destruction for the Hebrews
52	Babylonian	Jeremiah was Accused of Treason	The story makes the point that the protagonist was not working with the enemy
53	Babylonian	Jeremiah was Accused of Treason	The protagonist hosts in his dwelling foreign officials or prominent foreign individuals in his home
54	Babylonian	Jeremiah was Accused of Treason	There is a righteous man who steps up in the face of challenges
55	Babylonian	Jeremiah was Accused of Treason	The story has spies infiltrating a city during a conflict
56	Babylonian	Jeremiah was Accused of Treason	Someone is accused of hostile intentions towards the place they moved to
57	Babylonian	Jeremiah was Accused of Treason	Someone is accused of hostile intentions towards the place they moved to
58	Babylonian	Jeremiah was Accused of Treason	A person who talks to Yahweh is rewarded by him with a piece of land
59	Babylonian	Jeremiah was Accused of Treason	A person who talks to Yahweh is offered a piece of land
60	Babylonian	Jeremiah was Accused of Treason	A person who talks to Yahweh is promised a piece of land
61	Babylonian	Baruch Jeremiah's Servant	There is a prominent servant in the story
62	Babylonian	Baruch Jeremiah's Servant	The servant is loyal to his master
63	Babylonian	Baruch Jeremiah's Servant	The servant is humble
64	Babylonian	Baruch Jeremiah's Servant	There is a servant God chose to save and protect
65	Babylonian	Baruch Jeremiah's Servant	God appreciates the deeds of a servant and saves and protects him
66	Babylonian	Baruch Jeremiah's Servant	Yahweh appreciates a prophet's servant
67	Babylonian	Baruch Jeremiah's Servant	Yahweh looks after a servant of an important person
68	Babylonian	Mass Hebrew Immigration to Egypt	Many Hebrews were forced to move to Egypt because they could no longer stay on their land
69	Babylonian	Mass Hebrew Immigration to Egypt	A prominent Hebrew or prominent Hebrews move to Egypt because it is not tenable to stay on their land
70	Babylonian	Mass Hebrew Immigration to Egypt	A community of Hebrew immigrants in Egypt integrates into Egyptian society, adopts Egyptian customs, and names and is accepting of Egyptian religion. They prosper
71	Babylonian	Mass Hebrew Immigration to Egypt	The story is similar to known Ancient Egyptian stories
72	Babylonian	Babylonian Captivity	The Hebrews are captive in a foreign land that is not their land
73	Babylonian	Babylonian Captivity	The Hebrews are captive in a foreign land that is not their land and they're tied to it
74	Babylonian	Babylonian Captivity	The Hebrews are captive in a foreign land that is not their land and their leadership consists of elders
75	Babylonian	Babylonian Captivity	As the Hebrews are captive in a foreign land that is not their land, Yahweh is angry with them for not following his commands and worshiping other Gods as well
76	Babylonian	Babylonian Influences	The number combination of 6 + 1 is prominent in the text
77	Babylonian	Babylonian Influences	After something happens six times, in the seventh time it changes and the series breaks
78	Babylonian	Babylonian Influences	Yahweh is described as an angry God
79	Babylonian	Babylonian Influences	Yahweh is frustrated that the Hebrews are not listening to him or to his messenger and do not change their ways
80	Babylonian	Babylonian Influences	Yahweh is described as a vengeful God whose violence hits many people and not just a handful
81	Babylonian	Babylonian Influences	Yahweh is involved with geopolitics
82	Persian	Cyrus the Great	A messenger of Yahweh entered a city in peace
83	Persian	Cyrus the Great	A messenger of Yahweh had gates opened before him
84	Persian	Cyrus the Great	A messenger of Yahweh rides to a city on a mission of peace
85	Persian	Cyrus the Great	There is an empire stretching from one large sea to another, from one large river to another
86	Persian	Cyrus the Great	There is a very impressive crossing of a body of water that allows the Hebrews to return to their ancestral homeland
87	Persian	Cyrus the Great	There is a king whom Yahweh prophecized would save the Hebrews
88	Persian	Cyrus the Great	There is a Messiah or Messiah-like figure whom Yahweh prophecized would save the Hebrews
89	Persian	The Return to Zion	After a long captivity, the Hebrews are suddenly allowed by the king to return to their ancestral homeland
90	Persian	The Return to Zion	Thousands of Hebrews left captivity and walked back to their ancestral homeland, which they have never seen before
91	Persian	The Return to Zion	There are Hebrew returnees led by two people, a political leader and a priest
92	Persian	The Return to Zion	There are Hebrew returnees who believe that after leaving captivity and walking to their ancestral homeland, they will resettle it
93	Persian	The Return to Zion	There are Hebrew returnees who enter the Hebrew land from its east
94	Persian	The Return to Zion	There are Hebrew returnees from captivity, and there is peace and no wars or military conflicts
95	Persian	The Return to Zion	There are Hebrew returnees led by a man called Joshua
96	Persian	The Return to Zion	There is a Hebrew leader called Joshua who has a holy box associated with Yahweh and his magical powers
97	Persian	The Return to Zion	There is a Hebrew leader called Joshua who started out as the second most important person but ended up as the leader of the Hebrews
98	Persian	Persian Zoroastrian Elements	The text emphasizes the difference between light and darkness
99	Persian	Persian Zoroastrian Elements	The text contrasts light and darkness
100	Persian	Persian Zoroastrian Elements	The text emphasizes that light is good
101	Persian	Persian Zoroastrian Elements	The text emphasizes that Yahweh is both the God of light and of darkness
102	Persian	Persian Zoroastrian Elements	The text emphasizes the contrast between chaos and order
103	Persian	Persian Zoroastrian Elements	There is a correlation between light and order on one hand, and darkness and chaos on the other
104	Persian	Persian Zoroastrian Elements	There are magicians who cast protective spells
105	Persian	Persian Zoroastrian Elements	There is an emphasis on purity
106	Persian	Persian Zoroastrian Elements	There is an emphasis on personal moral righteousness
107	Persian	Persian Zoroastrian Elements	Yahweh is described as a God with a masterplan
108	Persian	Persian Zoroastrian Elements	Yahweh is described as perfect and he never changes his mind
109	Persian	Persian Zoroastrian Elements	The number seven is important and holy
110	Hellenistic	Hellenistic Neighbors	The Hebrews live near foreign neighbors with strong Aegean/Greek cultural influence, and they have constant interaction and conflict with them
111	Hellenistic	Hellenistic Neighbors	There is an evil king who suddenly rises to power, turns his kingdom's policies against the Hebrews, persecutes them, sends them a tax collector, kills their male baby boys
112	Hellenistic	Hellenistic Neighbors	There are Hebrew priests who promote idolatry
113	Hellenistic	Hellenistic Neighbors	There are Hebrew priests who defile altar of Yahweh with statues
114	Hellenistic	Hellenistic Neighbors	There are conflicts between the Hebrews and their foreign neighbors with strong Aegean/Greek cultural influence and they are exaggerated and over the top
115	Hellenistic	Hellenistic Neighbors	There are conflicts between the Hebrews and their foreign neighbors with strong Aegean/Greek cultural influence, and they are similar to Ancient Greek stories
116	Hellenistic	Hellenistic Neighbors	There are national conflicts between the Hebrews and their foreign neighbors with strong Aegean/Greek cultural influence
117	Hellenistic	Hellenistic Neighbors	There are battles between the Hebrews and their foreign neighbors with strong Aegean/Greek cultural influence and they're described with a lot of specific geographic data
118	Hellenistic	Hellenistic Influences	The protagonist in the story is a great warrior
119	Hellenistic	Hellenistic Influences	The protagonist in the story is a famed general
120	Hellenistic	Hellenistic Influences	Yahweh is described as a God who appreciates personal initiative and action rather than merely following the commands given by Yahweh
121	Hellenistic	Hellenistic Influences	The Hebrews live near foreign neighbors with strong Aegean/Greek cultural influence, and they have constant interaction and conflict with them
122	Hellenistic	Hellenistic Neighbors	The protagonist in the story is a great warrior ridiculously strong and full of bravado
123	Hellenistic	Hellenistic Neighbors	The protagonist is an exaggerated hero with cartoonishly impossible feats
124	Hellenistic	Hellenistic Neighbors	The protagonist has an exaggerated wit and smarts
125	Hellenistic	Hellenistic Neighbors	The strong hero has a weakness - women
126	Hellenistic	Hellenistic Neighbors	The protagonist is a clownish anti-hero
127	Hellenistic	Hellenistic Neighbors	The text uses the comedic rule of 3
128	Hellenistic	Hellenistic Neighbors	The story includes  Agôn (a Greek Comic Contest)
129	Hellenistic	Hellenistic Neighbors	The story includes Eironeia (ancient Greek Comic Irony)
130	Hellenistic	Hellenistic Neighbors	The story includes exaggerated or absurd buffoonery
131	Hellenistic	Hellenistic Neighbors	The story includes raunchy and sexual humor
132	Hellenistic	Hellenistic Neighbors	The story includes Peripeteia (sudden reversal)
133	Hellenistic	Hellenistic Neighbors	The story includes comic pathos
134	Hellenistic	Hellenistic Neighbors	The story includes Opsis (Spectacle in Greek plays)
135	Hellenistic	Hellenistic Neighbors	The story includes slapstick and farce
136	Hellenistic	Hellenistic Neighbors	The protagonist is a bumbling tyrant or tragicomic king
137	Hellenistic	Hellenistic Neighbors	The protagonist is a clever trickster-hero
138	Hellenistic	The Populist Leader Shimon	There is a Hebrew leader who rebuilds the Jerusalem walls
139	Hellenistic	The Populist Leader Shimon	There is a Hebrew leader who commands Hebrew soldiers
140	Hellenistic	The Populist Leader Shimon	There is a Hebrew leader who pays Hebrew soldiers from his own money
141	Hellenistic	The Populist Leader Shimon	There is a Hebrew leader who convenes a popular assembly
142	Hellenistic	The Populist Leader Shimon	There is a Hebrew leader whose politics are geared towards the regular people and less fortunate
143	Hellenistic	The Populist Leader Shimon	There is a Hebrew leader who makes significant reforms that improve the lives of the regular people and less fortunate
144	Hellenistic	The Populist Leader Shimon	There is a Hebrew leader who works to end the practice of Hebrew slave owners selling Hebrew slaves to foreign slave marks
145	Hellenistic	The Populist Leader Shimon	There is a Hebrew leader in Jerusalem who is in conflict with corrupt wealthy priests
146	Hellenistic	The Populist Leader Shimon	There is a Hebrew leader in Jerusalem who published a new constitution or political charter
147	Hellenistic	The Populist Leader Shimon	There is a Hebrew leader who protected the Hebrews against Samaritans, Ammonites, Nabatians or Arabs
148	Hellenistic	The Populist Leader Shimon	There is a Hebrew leader in Jerusalem who purified the temple from foreign influence and restored the correct Hebrew worship
149	Hellenistic	The Populist Leader Shimon	There is a Hebrew leader who had a conflict with the city of Ashdod
150	Hellenistic	Change in worship	The Hebrews are to celebrate Passover at home with their families and/or neighbors
