id	category	topic	prompt	weight
pol-1	Politics	Elitism	Yahweh and the Hebrew people are in conflict	2
pol-2	Politics	Elitism	Yahweh is enraged with his people	2
pol-3	Politics	Elitism	Yahweh is the one who makes all the decisions	1
pol-4	Politics	Elitism	The Hebrew leaders are in conflict with the Hebrew people	3
pol-5	Politics	Elitism	The people unjustly blame their leaders for their problems	5
pol-6	Politics	Elitism	The story is about how the common people are in the wrong and their leaders are in the right	3
pol-7	Politics	Elitism	The moral of the story is that the common people should not complain to their leaders	5
pol-8	Politics	Elitism	Contrary to what the people say, their leaders are not to blame for the state of the Hebrew people	5
pol-9	Politics	Elitism	When the Hebrew people are suffering greatly, the leaders tell them it's their fault	4
pol-10	Politics	Elitism	The Hebrew people voice harsh criticism against their leaders or Yahweh	5
pol-11	Politics	Elitism	The Hebrew people blame their leaders or Yahweh for their difficult situation	5
pol-12	Politics	Elitism	Yahweh is angry when he hears the people voice their opinions and feelings	5
pol-13	Politics	Elitism	The people are suffering and it's their own fault	2
pol-14	Politics	Elitism	The Hebrew leaders criticize the people	2
pol-15	Politics	Elitism	The Hebrews are ungrateful to their leader of Yahweh	5
pol-16	Politics	Elitism	Yahweh doesn't owe loyalty to the people and he considers replacing them with another people	5
pol-17	Politics	Elitism	Yahweh cares about the Hebrew leaders and does not have empathy for the people	3
pol-18	Politics	Elitism	The only named characters are leaders or future leaders	2
pol-19	Politics	Elitism	The people have no say in important decisions	1
pol-20	Politics	Elitism	The Hebrew people are discouraged from expressing their views	3
pol-21	Politics	Elitism	The model for good leadership is violence towards unruly people	2
pol-22	Politics	Elitism	The people are rebelling against their leaders or Yahweh	3
pol-23	Politics	Populism	There are common people characters with names	5
pol-24	Politics	Populism	There are common people characters with agency	3
pol-25	Politics	Populism	There are positive common people characters with lines, emotions or opinions	5
pol-26	Politics	Populism	Beyond Yahweh or the leader, the Hebrew people are involved in important decisions	1
pol-27	Politics	Populism	Strict hierarchy within the Hebrew society is unimportant or discouraged	2
pol-28	Politics	Populism	Common people are outsmarting the elite	4
pol-29	Politics	Populism	The story is about a conflict regular people have with evil people from the elite	2
pol-30	Politics	Populism	Yahweh communicates directly with common people too, not just with the appointed leaders	3
pol-31	Politics	Populism	The elite is trying to hurt common people	2
pol-32	Politics	Populism	People from the elite are portrayed unfavorably	1
pol-33	Politics	Populism	Common people are portrayed favorably	1
pol-34	Politics	Populism	the story is told from the perspective of specific working people or common people	1
pol-35	Politics	Populism	The story presents responsibility and accountability as important leadership traits	1
pol-36	Politics	Populism	The model for good leadership is solidarity with and among the people	3
pol-37	Politics	Populism	The appointed leader or leaders collaborate with others to positive results	3
pol-38	Politics	Populism	The Hebrew leader feels strong solidarity with the people he is leading	3
pol-39	Politics	Populism	The model of good leadership is humility in the face of criticism	2
pol-40	Politics	Nationalism	The Hebrews are portrayed as a people, a nation, more than just a family or followers of Yahweh	
pol-41	Politics	Nationalism	The Hebrews are oppressed and pursecuted as a people	
pol-42	Politics	Nationalism	The Hebrews are portrayed as a nation with its own specific land	
pol-43	Politics	Nationalism	The Hebrews are portrayed as a nation in a political fight for liberty on their own land	
pol-44	Politics	Nationalism	The Hebrews are portrayed as a nation in a political fight for liberty more so than in a religious or cosmic conflict	
pol-45	Politics	Nationalism	Yahweh is depicted as a national God	
pol-46	Politics	Nationalism	What is important to Yahweh is his land	
pol-47	Politics	Nationalism	The Hebrews are fighting for national sovereignty over their land	
pol-48	Politics	Nationalism	Moses is portrayed as a national leader or an aspiring national leader	
pol-49	Politics	Nationalism	The conflict is not depicted as personal or religious but as national - the Hebrew people against the Egyptian people	
pol-50	Politics	Priestly	Hebrew priests are depicted favorably	
pol-51	Politics	Priestly	The priests are the most important group in society	
pol-52	Politics	Priestly	Yahweh is angry at the people when they are not worshiping him properly	
pol-53	Politics	Priestly	Yahweh will kill the Hebrews if they don't worship him properly	
pol-54	Politics	Priestly	What makes the Hebrews a people is their worship to Yahweh	
pol-55	Politics	Priestly	What is important for Yahweh is proper worship and sacrifice	
pol-56	Politics	Priestly	What is important for Yahweh is rituals and ceremonies	
pol-57	Politics	Priestly	Only priests can offer sacrifice to Yahweh	
pol-58	Politics	Priestly	Priest leaders are superior to non-priest leaders	
pol-59	Politics	Priestly	Yahweh is depicted as a universal, omniscient and abstract deity	
pol-60	Politics	Priestly	Yahweh is depicted as a remote, emotionally removed, all-powerful God	
pol-61	Politics	Priestly	The Hebrews are first and foremost followers of Yahweh	
